Change Type,Commit SSH,File Name,From Signature, To Signature
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,ProcessInstance findProcessInstance(ProcessInstance),null
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,void setApplicationContext(ApplicationContext),null
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,void waitForProcessFinished()
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,int getExitCode()
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,boolean isProcessInstanceFinished()
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,void run(String[]),null
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/ShowcaseTest.java,null,void setUp()
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/ShowcaseTest.java,null,void startAndFinishProcess()
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/ShowcaseTest.java,void test(),null
ADD,403087ed4b7db8baac21d5d6ab655761676f4503,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,null,ProcessInstance findProcessInstance(ProcessInstance)
ADD,cc685d9370649f243f61ae004db3adc6db2561fe,camunda-spring-boot-starter-example-web/src/main/java/org/camunda/bpm/spring/boot/starter/example/web/Application.java,null,ResourceConfig jerseyConfig()
ADD,fbae32f93da909f91ec4bafb869263b049c8f440,process-engine-plugin/failed-job-retry-profile/src/main/java/org/camunda/bpm/example/FailedJobRetryProfileParseListener.java,null,void parseServiceTask(Element; ScopeImpl; ActivityImpl)
