Type,Commit SSH,File Name,From Signature, To Signature
REMOVE,797fe1b20a37f3554756d89a43dc2a30e07e2d4b,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobSkipIntegrationTests.java,public void clear(),null
REMOVE,797fe1b20a37f3554756d89a43dc2a30e07e2d4b,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/repository/JdbcJobRepositoryTests.java,public void onTearDownAfterTransaction(),null
ADD,797fe1b20a37f3554756d89a43dc2a30e07e2d4b,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/timeout/TimeoutJobIntegrationTests.java,null,public void setDataSource(DataSource dataSource)
CHANGE,4b9554fcce80e38f7adeffc82a26436199c28191,spring-batch-core/src/main/java/org/springframework/batch/core/partition/support/TaskExecutorPartitionHandler.java,protected Set<StepExecution> doHandle(StepExecution masterStepExecution; Set<StepExecution> partitionStepExecutions),protected Set<StepExecution> doHandle(StepExecution managerStepExecution; Set<StepExecution> partitionStepExecutions)
REMOVE,008d0813b7d880b59fa441e01180ff3095db0464,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobIntegrationTests.java,public void clear(),null
REMOVE,008d0813b7d880b59fa441e01180ff3095db0464,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobSkipIntegrationTests.java,public void clear(),null
REMOVE,d6ad4e15bbf8c47f7b36cded043f0ff088d6680e,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/repository/JdbcJobRepositoryTests.java,public void onTearDownAfterTransaction(),null
ADD,3743894fa4e287dac0e4752ce65dee15d3afea6d,spring-batch-integration/src/main/java/org/springframework/batch/integration/config/annotation/BatchIntegrationConfiguration.java,null,public RemoteChunkingManagerStepBuilderFactory remoteChunkingManagerStepBuilderFactory()
ADD,3743894fa4e287dac0e4752ce65dee15d3afea6d,spring-batch-integration/src/main/java/org/springframework/batch/integration/config/annotation/BatchIntegrationConfiguration.java,null,public RemotePartitioningManagerStepBuilderFactory remotePartitioningManagerStepBuilderFactory()
REMOVE,008d0813b7d880b59fa441e01180ff3095db0464,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/repository/JdbcJobRepositoryTests.java,public void onTearDownAfterTransaction(),null
ADD,008d0813b7d880b59fa441e01180ff3095db0464,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/timeout/TimeoutJobIntegrationTests.java,null,public void setDataSource(DataSource dataSource)
ADD,d6ad4e15bbf8c47f7b36cded043f0ff088d6680e,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/timeout/TimeoutJobIntegrationTests.java,null,public void setDataSource(DataSource dataSource)
CHANGE,4b9554fcce80e38f7adeffc82a26436199c28191,spring-batch-core/src/main/java/org/springframework/batch/core/step/builder/PartitionStepBuilder.java,public PartitionStepBuilder partitioner(String slaveStepName; Partitioner partitioner),public PartitionStepBuilder partitioner(String workerStepName; Partitioner partitioner)
ADD,57c8d70ff3f400b54389337809332eebb14d87a2,spring-batch-core/src/main/java/org/springframework/batch/core/step/item/SimpleChunkProvider.java,null,private void stopTimer(Timer.Sample sample; StepExecution stepExecution; String status)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,null,public void testGetLastJobExecution()
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,null,public void testGetLastJobInstance()
ADD,2e9272ddd1bb1d33562f8607deaedb4ac0402165,spring-batch-core/src/test/java/org/springframework/batch/core/step/tasklet/SystemCommandTaskletIntegrationTests.java,null,private boolean isRunningOnWindows()
